timestamp,status,card_present_flag,first_name,age,gender,txn_description,balance,amount,geometry,X,Y,merch_suburb,merch_state,merch_geometry,merch_X,merch_Y,coord_diff_km
2018-08-01T01:01:15.000+0000,authorized,1,Diana,26,F,POS,35.39,16.25,153.41 -27.95,-27.95,153.41,Ashmore,QLD,153.38 -27.99,-27.99,153.38,5.34
2018-08-01T01:13:45.000+0000,authorized,0,Diana,26,F,SALES-POS,21.2,14.19,153.41 -27.95,-27.95,153.41,Sydney,NSW,151.21 -33.87,-33.87,151.21,691.63
2018-08-01T01:26:15.000+0000,authorized,1,Michael,38,M,POS,5.71,6.42,151.23 -33.94,-33.94,151.23,Sydney,NSW,151.21 -33.87,-33.87,151.21,8.01
2018-08-01T01:38:45.000+0000,authorized,1,Rhonda,40,F,SALES-POS,2117.22,40.9,153.10 -27.66,-27.66,153.1,Buderim,QLD,153.05 -26.68,-26.68,153.05,109.20
2018-08-01T01:51:15.000+0000,authorized,1,Diana,26,F,SALES-POS,17.95,3.25,153.41 -27.95,-27.95,153.41,Mermaid Beach,QLD,153.44 -28.06,-28.06,153.44,12.60
2018-08-01T02:00:00.000+0000,posted,,Robert,20,M,PAYMENT,1705.43,163,151.22 -33.87,-33.87,151.22,,,,0,0,0.00
2018-08-01T02:23:04.000+0000,authorized,1,Kristin,43,F,SALES-POS,1248.36,61.06,144.95 -37.76,-37.76,144.95,Kalkallo,VIC,144.95 -37.53,-37.53,144.95,25.60
2018-08-01T04:11:25.000+0000,authorized,1,Kristin,43,F,POS,1232.75,15.61,144.95 -37.76,-37.76,144.95,Melbourne,VIC,144.96 -37.81,-37.81,144.96,5.64
2018-08-01T04:40:00.000+0000,authorized,1,Tonya,27,F,POS,213.16,19.25,116.06 -32.00,-32,116.06,Yokine,WA,115.85 -31.9,-31.9,115.85,22.75
2018-08-01T06:00:00.000+0000,posted,,Michael,40,M,INTER BANK,466.58,21,151.23 -33.96,-33.96,151.23,,,,0,0,0.00
2018-08-01T06:00:00.000+0000,posted,,Fernando,19,M,PAYMENT,4348.5,27,146.94 -36.04,-36.04,146.94,,,,0,0,0.00
2018-08-01T06:00:00.000+0000,posted,,Kristin,43,F,PAYMENT,1203.75,29,144.95 -37.76,-37.76,144.95,,,,0,0,0.00
2018-08-01T06:06:40.000+0000,authorized,1,Tonya,27,F,SALES-POS,207.08,6.08,116.06 -32.00,-32,116.06,Cockburn Central,WA,115.86 -32.13,-32.13,115.86,23.78
2018-08-01T07:00:00.000+0000,posted,,Isaiah,23,M,INTER BANK,4438.16,25,151.27 -33.76,-33.76,151.27,,,,0,0,0.00
2018-08-01T07:00:00.000+0000,posted,,Ricky,43,M,INTER BANK,173.66,39,145.16 -37.84,-37.84,145.16,,,,0,0,0.00
2018-08-01T07:20:48.000+0000,authorized,1,Jeffrey,30,M,POS,2.85,10.79,153.05 -27.61,-27.61,153.05,Mount Ommaney,QLD,152.94 -27.55,-27.55,152.94,12.74
2018-08-01T08:00:00.000+0000,posted,,Patrick,46,M,INTER BANK,260514.83,22,144.99 -37.90,-37.9,144.99,,,,0,0,0.00
2018-08-01T08:00:00.000+0000,posted,,Karen,26,F,PAYMENT,3117.94,55,149.03 -34.97,-34.97,149.03,,,,0,0,0.00
2018-08-01T08:00:00.000+0000,posted,,Ruth,47,F,PAYMENT,38.31,58,115.72 -32.28,-32.28,115.72,,,,0,0,0.00
2018-08-01T08:00:11.000+0000,authorized,1,Kimberly,24,F,POS,708.28,7.37,145.45 -37.74,-37.74,145.45,Brunswick,VIC,144.96 -37.78,-37.78,144.96,43.35
2018-08-01T08:09:42.000+0000,authorized,1,Diana,26,F,POS,3.85,14.1,153.41 -27.95,-27.95,153.41,Byron Bay,NSW,153.6 -28.63,-28.63,153.6,77.95
2018-08-01T08:19:14.000+0000,authorized,0,Joseph,37,M,POS,275.93,24.77,153.32 -27.93,-27.93,153.32,Lismore,NSW,153.28 -28.81,-28.81,153.28,98.04
2018-08-01T08:28:45.000+0000,authorized,1,Tiffany,25,F,SALES-POS,259.37,13.67,115.74 -31.72,-31.72,115.74,Fremantle,WA,115.76 -32.06,-32.06,115.76,37.90
2018-08-01T08:47:48.000+0000,authorized,0,Emily,43,F,POS,30583.15,12.08,145.35 -38.03,-38.03,145.35,Mordialloc,VIC,145.09 -38.01,-38.01,145.09,22.91
2018-08-01T08:57:20.000+0000,authorized,1,Joseph,21,M,POS,793.64,72.12,147.08 -37.97,-37.97,147.08,Chatswood,NSW,151.18 -33.8,-33.8,151.18,593.33
2018-08-01T09:00:00.000+0000,posted,,Christine,39,F,INTER BANK,4474.38,25,151.04 -33.80,-33.8,151.04,,,,0,0,0.00
2018-08-01T09:00:00.000+0000,posted,,Ryan,31,M,PAYMENT,586.2,36,150.92 -33.77,-33.77,150.92,,,,0,0,0.00
2018-08-01T09:02:54.000+0000,authorized,1,Michelle,19,F,SALES-POS,1636.91,17.96,150.82 -34.01,-34.01,150.82,Granville,NSW,151 -33.83,-33.83,151,26.04
2018-08-01T09:06:57.000+0000,authorized,1,Richard,24,M,SALES-POS,11525.54,14.49,152.99 -27.49,-27.49,152.99,Pacific Paradise,QLD,153.08 -26.61,-26.61,153.08,98.37
2018-08-01T09:11:00.000+0000,authorized,0,Michelle,19,F,SALES-POS,1625.34,11.57,150.82 -34.01,-34.01,150.82,Alexandria,NSW,151.19 -33.92,-33.92,151.19,35.60
2018-08-01T09:15:03.000+0000,authorized,1,Rhonda,40,F,POS,2072.1,45.12,153.10 -27.66,-27.66,153.1,North Lakes,QLD,152.99 -27.21,-27.21,152.99,51.26
2018-08-01T09:19:06.000+0000,authorized,0,Jessica,34,F,POS,12529.59,33.89,138.52 -35.01,-35.01,138.52,Findon,SA,138.53 -34.9,-34.9,138.53,12.28
2018-08-01T09:23:09.000+0000,authorized,1,Kimberly,24,F,SALES-POS,698.61,9.67,145.45 -37.74,-37.74,145.45,Doncaster,VIC,145.13 -37.78,-37.78,145.13,28.51
2018-08-01T09:27:12.000+0000,authorized,1,Ronald,25,M,POS,2086.31,4.38,145.73 -17.03,-17.03,145.73,Smithfield,QLD,145.7 -16.81,-16.81,145.7,24.70
2018-08-01T09:39:21.000+0000,authorized,1,Kaitlyn,21,F,POS,1689.89,28.49,114.62 -28.80,-28.8,114.62,Alstonville,NSW,153.44 -28.84,-28.84,153.44,3768.73
2018-08-01T09:43:24.000+0000,authorized,1,Kaitlyn,21,F,POS,1675.46,14.43,114.62 -28.80,-28.8,114.62,Leonora,WA,121.33 -28.9,-28.9,121.33,654.25
2018-08-01T09:47:26.000+0000,authorized,1,Richard,24,M,SALES-POS,11438.51,87.03,152.99 -27.49,-27.49,152.99,Greenslopes,QLD,153.05 -27.51,-27.51,153.05,6.33
2018-08-01T09:51:29.000+0000,authorized,1,Lori,18,F,POS,38.42,36.28,153.09 -27.48,-27.48,153.09,Browns Plains,QLD,153.05 -27.66,-27.66,153.05,20.42
2018-08-01T09:55:32.000+0000,authorized,0,Virginia,20,F,POS,1089.59,15.91,115.79 -31.79,-31.79,115.79,West Perth,WA,115.84 -31.95,-31.95,115.84,18.43
2018-08-01T09:59:35.000+0000,authorized,1,Andrew,78,M,POS,49756.21,25.7,145.09 -37.82,-37.82,145.09,Preston,VIC,145.03 -37.74,-37.74,145.03,10.35
