timestamp,status,card_present_cat,age,gender,txn_description,balance,amount,geometry,long,lat,merch_suburb,merch_state,merch_geometry,merch_long,merch_lat
2018-08-01T01:01:15.000+0000,authorized,1,26,F,POS,35.39,16.25,153.41 -27.95,153.41,-27.95,Ashmore,QLD,153.38 -27.99,153.38,-27.99
2018-08-01T01:13:45.000+0000,authorized,0,26,F,SALES-POS,21.2,14.19,153.41 -27.95,153.41,-27.95,Sydney,NSW,151.21 -33.87,151.21,-33.87
2018-08-01T01:26:15.000+0000,authorized,1,38,M,POS,5.71,6.42,151.23 -33.94,151.23,-33.94,Sydney,NSW,151.21 -33.87,151.21,-33.87
2018-08-01T01:38:45.000+0000,authorized,1,40,F,SALES-POS,2117.22,40.9,153.10 -27.66,153.1,-27.66,Buderim,QLD,153.05 -26.68,153.05,-26.68
2018-08-01T01:51:15.000+0000,authorized,1,26,F,SALES-POS,17.95,3.25,153.41 -27.95,153.41,-27.95,Mermaid Beach,QLD,153.44 -28.06,153.44,-28.06
2018-08-01T02:00:00.000+0000,posted,,20,M,PAYMENT,1705.43,163,151.22 -33.87,151.22,-33.87,,,,0,0
2018-08-01T02:23:04.000+0000,authorized,1,43,F,SALES-POS,1248.36,61.06,144.95 -37.76,144.95,-37.76,Kalkallo,VIC,144.95 -37.53,144.95,-37.53
2018-08-01T04:11:25.000+0000,authorized,1,43,F,POS,1232.75,15.61,144.95 -37.76,144.95,-37.76,Melbourne,VIC,144.96 -37.81,144.96,-37.81
2018-08-01T04:40:00.000+0000,authorized,1,27,F,POS,213.16,19.25,116.06 -32.00,116.06,-32,Yokine,WA,115.85 -31.9,115.85,-31.9
2018-08-01T06:00:00.000+0000,posted,,40,M,INTER BANK,466.58,21,151.23 -33.96,151.23,-33.96,,,,0,0
2018-08-01T06:00:00.000+0000,posted,,19,M,PAYMENT,4348.5,27,146.94 -36.04,146.94,-36.04,,,,0,0
2018-08-01T06:00:00.000+0000,posted,,43,F,PAYMENT,1203.75,29,144.95 -37.76,144.95,-37.76,,,,0,0
2018-08-01T06:06:40.000+0000,authorized,1,27,F,SALES-POS,207.08,6.08,116.06 -32.00,116.06,-32,Cockburn Central,WA,115.86 -32.13,115.86,-32.13
2018-08-01T07:00:00.000+0000,posted,,23,M,INTER BANK,4438.16,25,151.27 -33.76,151.27,-33.76,,,,0,0
2018-08-01T07:00:00.000+0000,posted,,43,M,INTER BANK,173.66,39,145.16 -37.84,145.16,-37.84,,,,0,0
2018-08-01T07:20:48.000+0000,authorized,1,30,M,POS,2.85,10.79,153.05 -27.61,153.05,-27.61,Mount Ommaney,QLD,152.94 -27.55,152.94,-27.55
2018-08-01T08:00:00.000+0000,posted,,46,M,INTER BANK,260514.83,22,144.99 -37.90,144.99,-37.9,,,,0,0
2018-08-01T08:00:00.000+0000,posted,,26,F,PAYMENT,3117.94,55,149.03 -34.97,149.03,-34.97,,,,0,0
2018-08-01T08:00:00.000+0000,posted,,47,F,PAYMENT,38.31,58,115.72 -32.28,115.72,-32.28,,,,0,0
2018-08-01T08:00:11.000+0000,authorized,1,24,F,POS,708.28,7.37,145.45 -37.74,145.45,-37.74,Brunswick,VIC,144.96 -37.78,144.96,-37.78
2018-08-01T08:09:42.000+0000,authorized,1,26,F,POS,3.85,14.1,153.41 -27.95,153.41,-27.95,Byron Bay,NSW,153.6 -28.63,153.6,-28.63
2018-08-01T08:19:14.000+0000,authorized,0,37,M,POS,275.93,24.77,153.32 -27.93,153.32,-27.93,Lismore,NSW,153.28 -28.81,153.28,-28.81
2018-08-01T08:28:45.000+0000,authorized,1,25,F,SALES-POS,259.37,13.67,115.74 -31.72,115.74,-31.72,Fremantle,WA,115.76 -32.06,115.76,-32.06
2018-08-01T08:47:48.000+0000,authorized,0,43,F,POS,30583.15,12.08,145.35 -38.03,145.35,-38.03,Mordialloc,VIC,145.09 -38.01,145.09,-38.01
2018-08-01T08:57:20.000+0000,authorized,1,21,M,POS,793.64,72.12,147.08 -37.97,147.08,-37.97,Chatswood,NSW,151.18 -33.8,151.18,-33.8
2018-08-01T09:00:00.000+0000,posted,,39,F,INTER BANK,4474.38,25,151.04 -33.80,151.04,-33.8,,,,0,0
2018-08-01T09:00:00.000+0000,posted,,31,M,PAYMENT,586.2,36,150.92 -33.77,150.92,-33.77,,,,0,0
2018-08-01T09:02:54.000+0000,authorized,1,19,F,SALES-POS,1636.91,17.96,150.82 -34.01,150.82,-34.01,Granville,NSW,151 -33.83,151,-33.83
2018-08-01T09:06:57.000+0000,authorized,1,24,M,SALES-POS,11525.54,14.49,152.99 -27.49,152.99,-27.49,Pacific Paradise,QLD,153.08 -26.61,153.08,-26.61
2018-08-01T09:11:00.000+0000,authorized,0,19,F,SALES-POS,1625.34,11.57,150.82 -34.01,150.82,-34.01,Alexandria,NSW,151.19 -33.92,151.19,-33.92
2018-08-01T09:15:03.000+0000,authorized,1,40,F,POS,2072.1,45.12,153.10 -27.66,153.1,-27.66,North Lakes,QLD,152.99 -27.21,152.99,-27.21
2018-08-01T09:19:06.000+0000,authorized,0,34,F,POS,12529.59,33.89,138.52 -35.01,138.52,-35.01,Findon,SA,138.53 -34.9,138.53,-34.9
2018-08-01T09:23:09.000+0000,authorized,1,24,F,SALES-POS,698.61,9.67,145.45 -37.74,145.45,-37.74,Doncaster,VIC,145.13 -37.78,145.13,-37.78
2018-08-01T09:27:12.000+0000,authorized,1,25,M,POS,2086.31,4.38,145.73 -17.03,145.73,-17.03,Smithfield,QLD,145.7 -16.81,145.7,-16.81
2018-08-01T09:39:21.000+0000,authorized,1,21,F,POS,1689.89,28.49,114.62 -28.80,114.62,-28.8,Alstonville,NSW,153.44 -28.84,153.44,-28.84
2018-08-01T09:43:24.000+0000,authorized,1,21,F,POS,1675.46,14.43,114.62 -28.80,114.62,-28.8,Leonora,WA,121.33 -28.9,121.33,-28.9
2018-08-01T09:47:26.000+0000,authorized,1,24,M,SALES-POS,11438.51,87.03,152.99 -27.49,152.99,-27.49,Greenslopes,QLD,153.05 -27.51,153.05,-27.51
2018-08-01T09:51:29.000+0000,authorized,1,18,F,POS,38.42,36.28,153.09 -27.48,153.09,-27.48,Browns Plains,QLD,153.05 -27.66,153.05,-27.66
2018-08-01T09:55:32.000+0000,authorized,0,20,F,POS,1089.59,15.91,115.79 -31.79,115.79,-31.79,West Perth,WA,115.84 -31.95,115.84,-31.95
2018-08-01T09:59:35.000+0000,authorized,1,78,M,POS,49756.21,25.7,145.09 -37.82,145.09,-37.82,Preston,VIC,145.03 -37.74,145.03,-37.74
2018-08-01T10:00:00.000+0000,posted,,40,F,PAYMENT,2040.1,32,153.10 -27.66,153.1,-27.66,,,,0,0
2018-08-01T10:00:00.000+0000,posted,,20,F,INTER BANK,137.14,39,150.68 -33.79,150.68,-33.79,,,,0,0
2018-08-01T10:00:00.000+0000,posted,,22,M,PAYMENT,292.77,34,145.03 -37.88,145.03,-37.88,,,,0,0
2018-08-01T10:00:00.000+0000,posted,,27,M,PAYMENT,28.04,29,144.71 -37.58,144.71,-37.58,,,,0,0
2018-08-01T10:00:00.000+0000,posted,,42,M,PAYMENT,754.2,150,150.90 -33.78,150.9,-33.78,,,,0,0
2018-08-01T10:00:00.000+0000,posted,,21,M,PAYMENT,763.64,30,147.08 -37.97,147.08,-37.97,,,,0,0
2018-08-01T10:12:51.000+0000,authorized,1,38,M,SALES-POS,301.65,20.43,138.67 -34.86,138.67,-34.86,Bomaderry,NSW,150.6 -34.84,150.6,-34.84
2018-08-01T10:27:08.000+0000,authorized,0,22,M,SALES-POS,1290.08,31.62,255.00 -573.00,255,-573,Sydney,NSW,151.21 -33.87,151.21,-33.87
2018-08-01T10:41:25.000+0000,authorized,1,38,F,SALES-POS,18784.07,16.13,144.89 -37.81,144.89,-37.81,Doncaster,VIC,145.13 -37.78,145.13,-37.78
2018-08-01T10:55:42.000+0000,authorized,1,43,F,POS,29645.42,937.73,145.35 -38.03,145.35,-38.03,Dandenong South,VIC,145.21 -38.03,145.21,-38.03
2018-08-01T11:00:00.000+0000,posted,,23,M,PAY/SALARY,8342.11,3903.95,151.27 -33.76,151.27,-33.76,,,,0,0
2018-08-01T11:00:00.000+0000,posted,,22,M,PAYMENT,1195.08,95,255.00 -573.00,255,-573,,,,0,0
2018-08-01T11:04:45.000+0000,authorized,1,40,M,POS,454.94,11.64,151.23 -33.96,151.23,-33.96,Margaret River,WA,115.07 -33.95,115.07,-33.95
2018-08-01T11:11:33.000+0000,authorized,1,43,F,POS,27.86,28,142.77 -37.06,142.77,-37.06,Robinvale,VIC,142.77 -34.58,142.77,-34.58
2018-08-01T11:18:22.000+0000,authorized,1,42,M,POS,689.22,64.98,150.90 -33.78,150.9,-33.78,Chatswood,NSW,151.2 -33.79,151.2,-33.79
2018-08-01T11:25:10.000+0000,authorized,1,40,M,SALES-POS,440.66,14.28,151.23 -33.96,151.23,-33.96,Chatswood,NSW,151.18 -33.8,151.18,-33.8
2018-08-01T11:31:58.000+0000,authorized,1,43,F,SALES-POS,29143.75,501.67,145.35 -38.03,145.35,-38.03,Mossman Gorge,QLD,145.35 -16.47,145.35,-16.47
2018-08-01T11:38:46.000+0000,authorized,1,33,M,POS,58154.74,17.97,145.13 -37.70,145.13,-37.7,Rockbank,VIC,144.63 -37.7,144.63,-37.7
2018-08-01T11:45:34.000+0000,authorized,0,24,F,POS,589.1,109.51,145.45 -37.74,145.45,-37.74,Sydney,NSW,151.21 -33.87,151.21,-33.87
2018-08-01T11:52:22.000+0000,authorized,0,25,M,POS,2058.92,27.39,145.73 -17.03,145.73,-17.03,Cobram,VIC,145.65 -35.92,145.65,-35.92
2018-08-01T11:59:11.000+0000,authorized,1,24,M,POS,1109.58,27.39,145.00 -37.83,145,-37.83,Kilsyth,VIC,145.32 -37.8,145.32,-37.8
2018-08-01T12:00:00.000+0000,posted,,23,F,PAY/SALARY,2040.58,1626.48,145.01 -37.93,145.01,-37.93,,,,0,0
2018-08-01T12:00:00.000+0000,posted,,26,F,PAYMENT,3071.94,46,149.03 -34.97,149.03,-34.97,,,,0,0
2018-08-01T12:00:00.000+0000,posted,,27,F,INTER BANK,150.08,57,116.06 -32.00,116.06,-32,,,,0,0
2018-08-01T12:00:00.000+0000,posted,,22,M,PAY/SALARY,3158.51,983.36,151.18 -33.80,151.18,-33.8,,,,0,0
2018-08-01T12:00:00.000+0000,posted,,40,F,PAYMENT,186371.86,170,143.83 -37.66,143.83,-37.66,,,,0,0
2018-08-01T12:15:26.000+0000,authorized,1,19,M,POS,4172.16,3.28,115.98 -32.07,115.98,-32.07,Ceduna,SA,133.67 -32.11,133.67,-32.11
2018-08-01T12:50:31.000+0000,authorized,1,28,M,POS,30163.44,33.45,151.12 -33.89,151.12,-33.89,Bass Hill,NSW,150.99 -33.9,150.99,-33.9
2018-08-01T13:00:00.000+0000,posted,,24,M,PAY/SALARY,2517.66,1408.08,145.00 -37.83,145,-37.83,,,,0,0
2018-08-01T13:00:00.000+0000,posted,,25,M,INTER BANK,2032.92,26,145.73 -17.03,145.73,-17.03,,,,0,0
2018-08-01T13:00:00.000+0000,posted,,43,F,PAY/SALARY,2271.79,1068.04,144.95 -37.76,144.95,-37.76,,,,0,0
2018-08-01T13:45:33.000+0000,authorized,0,43,F,POS,29128.11,15.64,145.35 -38.03,145.35,-38.03,Lara,VIC,144.4 -38.02,144.4,-38.02
2018-08-01T14:00:00.000+0000,posted,,26,F,PAY/SALARY,1017.52,1013.67,153.41 -27.95,153.41,-27.95,,,,0,0
2018-08-01T14:01:55.000+0000,authorized,1,20,F,POS,119.88,17.26,150.68 -33.79,150.68,-33.79,Minchinbury,NSW,150.83 -33.79,150.83,-33.79
2018-08-01T14:10:42.000+0000,authorized,0,24,F,SALES-POS,538.85,50.25,145.45 -37.74,145.45,-37.74,Melbourne,VIC,144.96 -37.81,144.96,-37.81
